Date,Open,High,Low,Close,Volume,Adj Close
2014-01-16,187.53,188.99,186.80,188.76,4770300,187.73
2014-01-15,185.82,188.65,185.49,187.74,4816500,186.72
2014-01-14,185.06,186.43,183.88,185.92,4619200,184.91
2014-01-13,186.26,186.95,183.86,184.16,5784700,183.16
2014-01-10,188.31,188.57,186.28,187.26,4022400,186.24
2014-01-09,189.02,189.50,186.55,187.38,4321300,186.36
2014-01-08,189.33,189.42,187.26,187.97,4603700,186.95
2014-01-07,186.39,190.35,186.38,189.71,5932300,188.68
2014-01-06,187.15,187.36,185.30,186.00,4067800,184.99
2014-01-03,185.83,187.35,185.30,186.64,4063200,185.62
2014-01-02,187.21,187.40,185.20,185.53,4546500,184.52
2013-12-31,186.49,187.79,186.30,187.57,3619700,186.55
2013-12-30,185.32,186.70,184.67,186.41,3018600,185.39
2013-12-27,185.84,186.50,184.56,185.08,3381600,184.07
2013-12-26,183.56,185.56,183.51,185.35,3325700,184.34
2013-12-24,181.96,183.50,181.91,183.22,1613600,182.22
2013-12-23,181.05,182.93,180.61,182.23,4079900,181.24
2013-12-20,180.12,182.00,180.02,180.02,7653500,179.04
2013-12-19,177.88,180.54,177.88,180.22,5927000,179.24
2013-12-18,176.45,178.74,174.85,178.70,5697700,177.73
2013-12-17,177.36,177.49,175.12,175.76,5471900,174.80
2013-12-16,173.22,178.35,172.73,177.85,7517000,176.88
2013-12-13,173.52,174.38,172.73,172.80,4184400,171.86
2013-12-12,175.06,175.80,173.30,173.37,5671600,172.42
2013-12-11,177.00,177.76,175.10,175.20,4090400,174.24
2013-12-10,176.90,177.67,176.06,177.12,4127800,176.15
2013-12-09,177.99,178.15,176.83,177.46,3796600,176.49
2013-12-06,176.70,178.00,176.01,177.67,4739800,176.70
2013-12-05,176.15,176.86,175.28,176.08,4384900,175.12
2013-12-04,175.37,177.50,175.16,175.74,5267400,174.78
2013-12-03,177.00,178.23,175.64,176.08,5864000,175.12
2013-12-02,179.46,179.59,177.12,177.48,4560000,176.51
2013-11-29,179.21,180.76,179.00,179.68,2870500,178.70
2013-11-27,177.83,180.18,177.82,178.97,4596500,177.99
2013-11-26,178.67,178.94,177.31,177.31,5756000,176.34
2013-11-25,180.25,180.75,177.82,178.94,7161900,177.96
2013-11-22,183.50,184.99,179.92,181.30,7610200,180.31
2013-11-21,185.54,185.75,183.41,184.13,4459500,183.13
2013-11-20,185.22,186.24,184.65,185.19,3645800,184.18
2013-11-19,184.63,186.20,184.15,185.25,4577000,184.24
2013-11-18,183.52,184.99,183.27,184.47,5344900,183.46
2013-11-15,182.38,183.28,181.16,183.19,5176100,182.19
2013-11-14,180.48,183.20,179.66,182.21,6321500,181.22
2013-11-13,182.27,183.55,181.59,183.55,4704400,182.55
2013-11-12,182.53,184.05,182.26,183.07,4258500,182.07
2013-11-11,180.19,183.39,180.04,182.88,5222300,181.88
2013-11-08,178.83,180.08,177.35,179.99,6275000,179.01
2013-11-07,179.60,181.39,179.60,180.00,5219500,179.02
2013-11-06,177.91,179.75,177.78,179.19,4560700,178.21
2013-11-05,179.54,179.80,177.71,177.85,6096800,175.94
2013-11-04,179.90,180.80,179.34,180.27,3483300,178.33
2013-11-01,179.81,180.34,178.88,179.23,3644500,177.30
2013-10-31,179.65,181.67,179.04,179.21,4318100,177.28
2013-10-30,181.69,182.18,179.86,180.15,5273700,178.21
2013-10-29,177.62,182.32,177.50,182.12,8904600,180.16
2013-10-28,177.04,177.89,176.20,177.35,3712700,175.44
2013-10-25,178.43,179.10,176.26,176.85,4842800,174.95
2013-10-24,176.43,177.89,176.25,177.80,5533300,175.89
2013-10-23,175.09,175.99,174.40,175.77,5409400,173.88
2013-10-22,173.35,175.57,172.95,174.97,6977300,173.09
2013-10-21,174.42,174.75,172.63,172.86,7098700,171.00
2013-10-18,174.80,175.00,173.25,173.78,10548000,171.91
2013-10-17,173.84,177.00,172.57,174.83,22368900,172.95
2013-10-16,185.42,186.73,184.99,186.73,6718000,184.72
2013-10-15,185.74,185.94,184.22,184.66,3365100,182.67
2013-10-14,185.41,186.99,184.42,186.97,2663100,184.96
2013-10-11,185.25,186.23,184.12,186.16,3232600,184.16
2013-10-10,183.17,184.77,182.36,184.77,3658900,182.78
2013-10-09,179.37,181.67,179.10,181.32,4423500,179.37
2013-10-08,181.89,181.99,178.71,178.72,5578300,176.80
2013-10-07,181.85,183.31,181.85,182.01,3966400,180.05
2013-10-04,184.17,185.13,183.58,184.10,2863600,182.12
2013-10-03,184.70,184.96,183.00,183.86,3211800,181.88
2013-10-02,185.54,186.31,184.41,184.96,3617100,182.97
2013-10-01,185.34,186.65,184.65,186.38,2681200,184.37
2013-09-30,185.56,186.74,184.34,185.18,3978200,183.19
2013-09-27,188.87,188.94,186.45,186.92,3905500,184.91
2013-09-26,190.10,191.76,189.46,190.22,2093600,188.17
2013-09-25,190.14,190.62,188.50,189.47,2654500,187.43
2013-09-24,190.93,191.56,189.66,189.97,3085300,187.93
2013-09-23,190.06,192.41,189.33,190.99,3340800,188.93
2013-09-20,193.96,194.43,190.02,190.02,8525900,187.97
2013-09-19,194.18,194.89,193.22,193.39,3178100,191.31
2013-09-18,192.60,194.89,192.00,194.42,3841800,192.33
2013-09-17,193.42,194.15,191.83,192.16,2930900,190.09
2013-09-16,193.70,194.81,192.61,193.15,3902400,191.07
2013-09-13,191.21,193.10,191.00,192.17,3710400,190.10
2013-09-12,190.96,191.32,189.85,190.73,3354800,188.68
2013-09-11,186.83,190.87,186.82,190.70,4962900,188.65
2013-09-10,187.20,187.65,186.37,186.60,3149600,184.59
2013-09-09,183.68,185.49,183.31,184.98,3017200,182.99
2013-09-06,184.65,184.99,182.65,183.03,2903500,181.06
2013-09-05,183.35,185.00,183.07,184.15,2867600,182.17
2013-09-04,183.58,184.19,182.31,183.13,2597900,181.16
2013-09-03,183.63,184.32,182.51,183.96,3487200,181.98
2013-08-30,182.75,182.99,181.51,182.27,2731000,180.31
2013-08-29,181.96,183.70,181.44,182.64,2980900,180.67
2013-08-28,182.68,183.47,181.10,182.16,3979200,180.20
2013-08-27,183.63,184.50,182.57,182.74,3190700,180.77
2013-08-26,185.27,187.00,184.68,184.74,2170400,182.75
2013-08-23,185.34,185.74,184.57,185.42,2292700,183.42
2013-08-22,185.65,186.25,184.25,185.19,2354300,183.20
2013-08-21,184.67,186.57,184.28,184.86,3551000,182.87
2013-08-20,184.37,185.63,183.17,184.56,3117800,182.57
2013-08-19,185.30,186.50,183.98,184.23,3248900,182.25
2013-08-16,185.54,186.46,185.34,185.34,3426400,183.34
2013-08-15,186.23,187.00,185.45,185.79,3692400,183.79
2013-08-14,188.58,188.93,187.30,187.53,2892300,185.51
2013-08-13,189.54,189.99,187.56,188.42,3542900,186.39
2013-08-12,186.97,189.56,186.89,189.09,3026500,187.05
2013-08-09,188.00,189.16,187.00,187.82,3249600,185.80
2013-08-08,189.45,189.87,186.79,187.93,4547600,185.91
2013-08-07,189.60,189.93,188.05,188.56,3901700,186.53
2013-08-06,192.26,192.51,190.27,190.99,5938500,187.99
2013-08-05,195.16,195.88,194.35,195.50,2490900,192.43
2013-08-02,195.50,195.50,193.22,195.16,3874000,192.10
2013-08-01,196.65,197.17,195.41,195.81,2877700,192.74
2013-07-31,194.49,196.91,194.49,195.04,3810000,191.98
2013-07-30,196.99,197.83,195.81,196.01,2663200,192.94
2013-07-29,196.83,197.19,195.53,196.21,2113700,193.13
2013-07-26,196.59,197.37,195.00,197.35,2485100,194.25
2013-07-25,196.30,197.83,195.66,197.22,3014300,194.13
2013-07-24,195.95,197.30,195.86,196.61,2957900,193.53
2013-07-23,194.21,196.43,194.10,194.98,2863800,191.92
2013-07-22,193.40,195.79,193.28,194.09,3398000,191.05
2013-07-19,197.91,197.99,193.24,193.54,6997600,190.50
2013-07-18,198.27,200.94,195.99,197.99,8393400,194.88
2013-07-17,194.72,194.89,193.03,194.55,6868400,191.50
2013-07-16,194.04,194.58,192.68,193.85,3745300,190.81
2013-07-15,192.42,194.89,191.68,194.00,5674700,190.96
2013-07-12,193.07,193.70,191.59,192.07,4494700,189.06
2013-07-11,193.78,194.11,192.61,192.80,4177500,189.78
2013-07-10,191.51,193.43,191.27,192.25,3892000,189.23
2013-07-09,191.88,192.80,190.78,191.30,5204200,188.30
2013-07-08,195.60,195.78,194.61,194.98,2947500,191.92
2013-07-05,194.49,195.16,192.35,194.93,2405400,191.87
2013-07-03,190.98,194.22,190.51,193.25,1872600,190.22
2013-07-02,190.78,193.23,190.26,191.50,3657700,188.50
2013-07-01,192.15,193.80,191.12,191.28,4442400,188.28
2013-06-28,191.73,192.66,188.41,191.11,10055800,188.11
2013-06-27,196.05,196.90,195.29,195.65,3514200,192.58
2013-06-26,195.97,196.23,194.50,194.86,3320200,191.80
2013-06-25,195.31,195.59,193.15,194.98,3846200,191.92
2013-06-24,193.99,194.91,191.34,193.54,4356200,190.50
2013-06-21,198.50,198.52,193.54,195.46,8914800,192.39
2013-06-20,200.67,201.70,197.28,197.35,4514800,194.25
2013-06-19,204.44,205.03,201.93,201.94,2846100,198.77
2013-06-18,203.02,206.09,202.87,204.87,3277800,201.66
2013-06-17,203.44,205.17,202.55,203.04,3219900,199.86
2013-06-14,203.97,204.74,201.81,202.20,2804500,199.03
2013-06-13,201.01,204.40,200.34,203.77,2899500,200.57
2013-06-12,204.59,205.23,200.51,201.20,3409800,198.04
2013-06-11,203.17,205.95,202.51,203.98,2814400,200.78
2013-06-10,206.97,206.98,204.90,205.02,2652300,201.80
2013-06-07,204.85,206.35,204.11,206.35,2953400,203.11
2013-06-06,203.00,204.20,201.47,203.80,3679400,200.60
2013-06-05,205.16,206.29,202.40,202.74,4215400,199.56
2013-06-04,208.60,209.00,205.08,206.19,3598300,202.96
2013-06-03,208.25,210.05,207.33,208.95,3322000,205.67
2013-05-31,208.59,211.98,208.02,208.02,4949000,204.76
2013-05-30,206.97,210.99,206.97,209.36,4399700,206.08
2013-05-29,206.22,208.42,206.04,207.92,3439400,204.66
2013-05-28,207.44,208.59,207.16,207.78,4011500,204.52
2013-05-24,204.69,206.43,204.42,205.72,3295800,202.49
2013-05-23,205.48,208.61,205.13,206.16,5179100,202.93
2013-05-22,208.50,210.15,206.12,206.99,5186800,203.74
2013-05-21,207.24,209.48,207.00,208.65,2982900,205.38
2013-05-20,208.02,209.15,207.42,207.60,3614500,204.34
2013-05-17,205.25,209.50,204.99,208.44,5704100,205.17
2013-05-16,204.00,206.59,204.00,204.69,4507000,201.48
2013-05-15,202.25,203.68,202.04,203.32,4028100,200.13
2013-05-14,202.09,203.67,202.08,203.21,3699700,200.02
2013-05-13,204.18,204.47,202.22,202.47,3648400,199.29
2013-05-10,203.37,204.53,202.82,204.47,3279200,201.26
2013-05-09,204.69,205.00,202.72,203.24,3542300,200.05
2013-05-08,202.94,204.85,202.51,204.82,3601700,201.61
2013-05-07,202.81,203.73,201.65,203.63,3451000,199.50
2013-05-06,203.79,203.99,201.52,202.78,4826500,198.67
2013-05-03,203.94,205.32,203.75,204.51,4492700,200.36
2013-05-02,200.12,202.43,199.75,202.39,3945100,198.29
2013-05-01,201.87,202.17,199.20,199.63,4899100,195.58
2013-04-30,199.13,202.59,197.35,202.54,7539900,198.43
2013-04-29,194.78,199.68,194.65,199.15,5932400,195.11
2013-04-26,194.16,194.71,193.25,194.31,3490300,190.37
2013-04-25,192.69,195.17,192.32,193.95,4650900,190.02
2013-04-24,192.16,192.50,191.09,191.71,3693900,187.82
2013-04-23,189.27,192.55,188.61,191.61,6296100,187.72
2013-04-22,191.15,191.38,187.68,187.83,9845400,184.02
2013-04-19,195.74,196.50,189.76,190.00,18847000,186.15
2013-04-18,210.11,210.25,206.15,207.15,6502000,202.95
2013-04-17,210.53,211.09,209.50,209.67,3269800,205.42
2013-04-16,210.84,212.00,209.20,212.00,2859500,207.70
2013-04-15,210.44,211.69,209.26,209.26,4218100,205.02
2013-04-12,210.79,211.49,209.78,211.38,3165400,207.09
2013-04-11,211.50,213.09,210.85,212.92,3655600,208.60
2013-04-10,211.86,212.51,210.47,212.00,3524200,207.70
2013-04-09,209.56,210.00,208.61,209.22,2577300,204.98
2013-04-08,209.07,209.32,207.33,209.32,2351200,205.08
2013-04-05,209.10,209.84,206.34,209.41,4148000,205.16
2013-04-04,212.77,212.93,210.04,211.31,3709500,207.03
2013-04-03,214.32,214.89,212.63,212.66,3128800,208.35
2013-04-02,212.92,214.71,211.57,214.36,3116800,210.01
2013-04-01,212.80,213.50,211.25,212.38,2144500,208.07
2013-03-28,209.83,213.44,209.74,213.30,3749900,208.97
2013-03-27,210.96,212.16,210.10,210.89,3223400,206.61
2013-03-26,211.77,212.50,211.50,212.36,2300300,208.05
2013-03-25,212.54,212.81,210.05,210.74,3242500,206.47
2013-03-22,212.21,213.17,211.62,212.08,3031500,207.78
2013-03-21,212.96,213.00,210.11,212.26,5830400,207.96
2013-03-20,214.76,215.82,214.30,215.06,3019000,210.70
2013-03-19,214.13,215.12,211.83,213.44,3198600,209.11
2013-03-18,212.90,214.50,212.64,213.21,3006000,208.89
2013-03-15,215.38,215.90,213.41,214.92,7930300,210.56
2013-03-14,212.15,215.86,212.15,215.80,5505500,211.42
2013-03-13,210.20,212.36,209.77,212.06,3355900,207.76
2013-03-12,209.40,210.73,209.09,210.55,3591600,206.28
2013-03-11,210.04,210.20,209.04,210.08,3049700,205.82
2013-03-08,209.85,210.74,209.43,210.38,3700500,206.11
2013-03-07,208.29,209.60,208.24,209.42,3884400,205.17
2013-03-06,207.03,208.49,206.66,208.38,3594800,204.15
2013-03-05,205.86,207.70,205.69,206.53,3807800,202.34
2013-03-04,202.59,205.19,202.55,205.19,3693400,201.03
2013-03-01,200.65,202.94,199.36,202.91,3308300,198.80
2013-02-28,202.18,203.12,200.79,200.83,4689200,196.76
2013-02-27,198.89,202.75,198.60,202.33,4185100,198.23
2013-02-26,198.63,199.90,197.84,199.14,3391600,195.10
2013-02-25,201.67,202.49,197.51,197.51,3844800,193.51
2013-02-22,199.23,201.09,198.84,201.09,3107900,197.01
2013-02-21,198.63,199.07,198.11,198.33,3922900,194.31
2013-02-20,200.62,201.72,198.86,199.31,3715400,195.27
2013-02-19,200.60,201.89,200.22,200.32,2998300,196.26
2013-02-15,199.98,201.25,199.82,200.98,3627800,196.90
2013-02-14,199.73,200.32,199.26,199.65,3294200,195.60
2013-02-13,200.65,200.95,199.57,200.09,2169800,196.03
2013-02-12,200.01,200.74,199.02,200.04,2461800,195.98
2013-02-11,200.98,201.95,199.75,200.16,2944700,196.10
2013-02-08,199.97,202.09,199.68,201.68,2893300,197.59
2013-02-07,200.62,200.91,198.68,199.74,3076700,195.69
2013-02-06,200.39,201.29,199.56,201.02,3624200,196.94
2013-02-05,204.31,204.75,202.51,202.79,3636900,197.85
2013-02-04,204.19,205.02,203.57,203.79,3188800,198.82
2013-02-01,204.65,205.35,203.84,205.18,3370700,200.18
